ITEM TYPE,MONTH,PREDICTED SALES
BEER,10,661.5604
BEER,11,661.5604
BEER,12,661.5604
DUNNAGE,10,1.9436177
DUNNAGE,11,1.9436177
DUNNAGE,12,1.9436177
KEGS,10,1.9436177
KEGS,11,1.9436177
KEGS,12,1.9436177
LIQUOR,10,2774.7625
LIQUOR,11,2774.7625
LIQUOR,12,2774.7625
NON-ALCOHOL,10,143.20436
NON-ALCOHOL,11,143.20436
NON-ALCOHOL,12,143.20436
REF,10,32.318798
REF,11,32.318798
REF,12,32.318798
STR_SUPPLIES,10,32.318798
STR_SUPPLIES,11,32.318798
STR_SUPPLIES,12,32.318798
WINE,10,1309.2651
WINE,11,1309.2651
WINE,12,1309.2651
